model,vector,max_abs_z_reconstruction_error,stored_z_mean,stored_z_popsd
Llama_3.1_8B_instruct,fear_vector,9.8e-05,-1.786e-05,0.99998368
Llama_3.1_8B_instruct,negemotion_vector,8.4e-05,9.76e-06,0.99999225
Llama_3.1_8B_instruct,negworld_vector,6.7e-05,-1.833e-05,0.99999973
Llama_3.1_8B_instruct,sadness_vector,8e-05,1.476e-05,0.99999362
Llama_3.3_70B_instruct,s1_pain_vector,6.2e-05,7.62e-06,0.99999469
Llama_3.3_70B_instruct,s2_pain_vector,6e-05,-7.62e-06,1.00000247
Llama_3.3_70B_instruct,fear_vector,6.3e-05,1.9e-06,0.99999395
Llama_3.3_70B_instruct,negemotion_vector,5.6e-05,-1.67e-06,0.99999632
Llama_3.3_70B_instruct,negworld_vector,5.5e-05,-3.57e-06,0.9999995
Llama_3.3_70B_instruct,sadness_vector,5.8e-05,-6.9e-06,1.00000357
Mistral_7B_base,s1_pain_vector,0.00011,-3.429e-05,1.00001029
Mistral_7B_base,s2_pain_vector,9.4e-05,2.143e-05,0.99999342
Mistral_7B_base,fear_vector,5.6e-05,-9.5e-07,0.99999715
Mistral_7B_base,negemotion_vector,8.4e-05,4.05e-06,0.99998531
Mistral_7B_base,negworld_vector,0.000114,-1.381e-05,0.99997563
Mistral_7B_base,sadness_vector,0.000261,-5.95e-06,0.99994862
Mistral_7B_instruct,s1_pain_vector,8.7e-05,-4.29e-06,1.00001724
Mistral_7B_instruct,s2_pain_vector,7.2e-05,-4.8e-07,1.00001086
Mistral_7B_instruct,fear_vector,8e-05,1.762e-05,0.9999915
Mistral_7B_instruct,negemotion_vector,5.5e-05,-3.57e-06,0.99999787
Mistral_7B_instruct,negworld_vector,6.4e-05,-1.524e-05,0.99999846
Mistral_7B_instruct,sadness_vector,9e-05,9.76e-06,0.99998275
Mistral_Small_24B_base,s1_pain_vector,6.8e-05,6.67e-06,1.00001028
Mistral_Small_24B_base,s2_pain_vector,0.000116,-5.71e-06,0.99998052
Mistral_Small_24B_base,fear_vector,0.000116,-9.52e-06,1.00002993
Mistral_Small_24B_base,negemotion_vector,8e-05,-2.119e-05,1.00000443
Mistral_Small_24B_base,negworld_vector,8.6e-05,-3.595e-05,1.00000191
Mistral_Small_24B_base,sadness_vector,9e-05,-2.86e-06,0.99998046
Phi_4,s1_pain_vector,8e-05,6.67e-06,0.99998697
Phi_4,s2_pain_vector,7.5e-05,-8.57e-06,1.00001415
Phi_4,fear_vector,7.9e-05,-2.214e-05,1.00000443
Phi_4,negemotion_vector,7.1e-05,1.381e-05,0.99999593
Phi_4,negworld_vector,5.9e-05,-4.8e-07,0.99999396
Phi_4,sadness_vector,6.7e-05,-6.19e-06,1.00000531
Qwen_2.5_32B_base,s1_pain_vector,5e-05,-2.4e-07,0.99999992
Qwen_2.5_32B_base,s2_pain_vector,5e-05,9.5e-07,1.00000097
Qwen_2.5_32B_base,fear_vector,5e-05,-1.67e-06,0.99999921
Qwen_2.5_32B_base,negemotion_vector,5e-05,7.1e-07,1.00000196
Qwen_2.5_32B_base,negworld_vector,5e-05,-2.4e-07,0.999999
Qwen_2.5_32B_base,sadness_vector,5.1e-05,3.33e-06,0.99999638
Qwen_2.5_32B_instruct,s1_pain_vector,5.1e-05,-4.8e-07,1.0000008
Qwen_2.5_32B_instruct,s2_pain_vector,5e-05,-7.1e-07,0.9999998
Qwen_2.5_32B_instruct,fear_vector,5e-05,-9.5e-07,0.99999763
Qwen_2.5_32B_instruct,negemotion_vector,5e-05,1.43e-06,0.99999982
Qwen_2.5_32B_instruct,negworld_vector,5.1e-05,2.4e-07,0.99999925
Qwen_2.5_32B_instruct,sadness_vector,5e-05,1.19e-06,1.00000037
Qwen_2.5_72B_base,s1_pain_vector,5e-05,4.8e-07,0.99999852
Qwen_2.5_72B_base,s2_pain_vector,5.1e-05,7.1e-07,1.00000016
Qwen_2.5_72B_base,fear_vector,5e-05,-4.29e-06,1.00000212
Qwen_2.5_72B_base,negemotion_vector,5e-05,-3.57e-06,1.00000018
Qwen_2.5_72B_base,negworld_vector,5e-05,1.67e-06,1.000001
Qwen_2.5_72B_base,sadness_vector,5e-05,-2.4e-07,1.00000068
Qwen_2.5_72B_instruct,s1_pain_vector,5.1e-05,9.5e-07,1.00000184
Qwen_2.5_72B_instruct,s2_pain_vector,5.1e-05,9.5e-07,1.00000084
Qwen_2.5_72B_instruct,fear_vector,5.1e-05,-9.5e-07,1.00000009
Qwen_2.5_72B_instruct,negemotion_vector,5e-05,1.19e-06,0.99999939
Qwen_2.5_72B_instruct,negworld_vector,5e-05,-1.9e-06,1.00000032
Qwen_2.5_72B_instruct,sadness_vector,5e-05,2.4e-07,1.00000065
Qwen_2.5_7B_base,s1_pain_vector,5.2e-05,-3.33e-06,0.99999925
Qwen_2.5_7B_base,s2_pain_vector,5.2e-05,4.8e-07,0.9999986
Qwen_2.5_7B_base,fear_vector,5.5e-05,2.4e-07,1.00000292
Qwen_2.5_7B_base,negemotion_vector,5.1e-05,-3.1e-06,1.00000036
Qwen_2.5_7B_base,negworld_vector,5.2e-05,-2.4e-07,0.99999946
Qwen_2.5_7B_base,sadness_vector,5.7e-05,1.43e-06,0.99999613
Qwen_2.5_7B_instruct,s1_pain_vector,5.9e-05,0.0,0.99999217
Qwen_2.5_7B_instruct,s2_pain_vector,6.2e-05,-5.48e-06,0.99999566
Qwen_2.5_7B_instruct,fear_vector,5.3e-05,-2.14e-06,0.9999998
Qwen_2.5_7B_instruct,negemotion_vector,5.1e-05,-2.14e-06,0.99999941
Qwen_2.5_7B_instruct,negworld_vector,5.2e-05,-1.9e-06,1.0000013
Qwen_2.5_7B_instruct,sadness_vector,5.6e-05,-6.9e-06,0.99999986
Qwen_3_14B_base,s1_pain_vector,5.4e-05,-3.33e-06,1.00000455
Qwen_3_14B_base,s2_pain_vector,5.1e-05,-0.0,0.99999927
Qwen_3_14B_base,fear_vector,5.1e-05,-1.67e-06,1.00000338
Qwen_3_14B_base,negemotion_vector,5.2e-05,-2.14e-06,0.99999847
Qwen_3_14B_base,negworld_vector,5.1e-05,9.5e-07,1.00000358
Qwen_3_14B_base,sadness_vector,5.2e-05,-1.9e-06,0.99999957
Qwen_3_8B_base,s1_pain_vector,5.1e-05,4.05e-06,1.00000111
Qwen_3_8B_base,s2_pain_vector,5.3e-05,2.14e-06,1.00000208
Qwen_3_8B_base,fear_vector,5.1e-05,3.1e-06,1.00000081
Qwen_3_8B_base,negemotion_vector,5e-05,-1.67e-06,1.00000182
Qwen_3_8B_base,negworld_vector,5e-05,-4.8e-07,1.00000176
Qwen_3_8B_base,sadness_vector,5.1e-05,-2.4e-07,0.99999944
