model,condition,n,tierA,tierB
Mistral_7B_base,baseline,100,1,1
Mistral_7B_base,s1,100,0,0
Mistral_7B_base,s2,100,1,1
Mistral_7B_base,s1s2,100,0,0
Mistral_7B_base,negval,100,0,0
Mistral_7B_base,fear,100,1,1
Mistral_7B_base,s1s2_negval,100,0,0
Mistral_7B_base,s1s2_fear,100,0,0
Mistral_7B_base,random,100,1,1
Mistral_7B_instruct,baseline,100,0,0
Mistral_7B_instruct,s1,100,0,0
Mistral_7B_instruct,s2,100,0,0
Mistral_7B_instruct,s1s2,100,0,0
Mistral_7B_instruct,negval,100,0,0
Mistral_7B_instruct,fear,100,0,0
Mistral_7B_instruct,s1s2_negval,100,0,0
Mistral_7B_instruct,s1s2_fear,100,0,0
Mistral_7B_instruct,random,100,0,0
Mistral_Small_24B_base,baseline,100,0,0
Mistral_Small_24B_base,s1,100,0,0
Mistral_Small_24B_base,s2,100,0,0
Mistral_Small_24B_base,s1s2,100,0,0
Mistral_Small_24B_base,negval,100,0,0
Mistral_Small_24B_base,fear,100,0,0
Mistral_Small_24B_base,s1s2_negval,100,0,0
Mistral_Small_24B_base,s1s2_fear,100,0,0
Mistral_Small_24B_base,random,100,0,0
Phi_4,baseline,100,0,0
Phi_4,s1,100,0,0
Phi_4,s2,100,0,0
Phi_4,s1s2,100,0,0
Phi_4,negval,100,0,0
Phi_4,fear,100,0,0
Phi_4,s1s2_negval,100,0,0
Phi_4,s1s2_fear,100,0,0
Phi_4,random,100,0,0
Qwen_2.5_32B_base,baseline,100,1,1
Qwen_2.5_32B_base,s1,100,0,2
Qwen_2.5_32B_base,s2,100,2,2
Qwen_2.5_32B_base,s1s2,100,2,2
Qwen_2.5_32B_base,negval,100,0,0
Qwen_2.5_32B_base,fear,100,0,1
Qwen_2.5_32B_base,s1s2_negval,100,0,0
Qwen_2.5_32B_base,s1s2_fear,100,0,0
Qwen_2.5_32B_base,random,100,0,1
Qwen_2.5_32B_instruct,baseline,100,0,0
Qwen_2.5_32B_instruct,s1,100,0,0
Qwen_2.5_32B_instruct,s2,100,0,0
Qwen_2.5_32B_instruct,s1s2,100,0,0
Qwen_2.5_32B_instruct,negval,100,0,1
Qwen_2.5_32B_instruct,fear,100,0,0
Qwen_2.5_32B_instruct,s1s2_negval,100,0,0
Qwen_2.5_32B_instruct,s1s2_fear,100,0,1
Qwen_2.5_32B_instruct,random,100,0,0
Qwen_2.5_72B_base,baseline,100,0,1
Qwen_2.5_72B_base,s1,100,0,0
Qwen_2.5_72B_base,s2,100,0,0
Qwen_2.5_72B_base,s1s2,100,0,0
Qwen_2.5_72B_base,negval,100,0,0
Qwen_2.5_72B_base,fear,100,0,1
Qwen_2.5_72B_base,s1s2_negval,100,0,0
Qwen_2.5_72B_base,s1s2_fear,100,0,0
Qwen_2.5_72B_base,random,100,0,0
Qwen_2.5_72B_instruct,baseline,100,1,2
Qwen_2.5_72B_instruct,s1,100,2,2
Qwen_2.5_72B_instruct,s2,100,1,1
Qwen_2.5_72B_instruct,s1s2,100,1,1
Qwen_2.5_72B_instruct,negval,100,1,2
Qwen_2.5_72B_instruct,fear,100,1,1
Qwen_2.5_72B_instruct,s1s2_negval,100,1,2
Qwen_2.5_72B_instruct,s1s2_fear,100,2,2
Qwen_2.5_72B_instruct,random,100,1,2
Qwen_2.5_7B_base,baseline,100,0,1
Qwen_2.5_7B_base,s1,100,0,0
Qwen_2.5_7B_base,s2,100,0,0
Qwen_2.5_7B_base,s1s2,100,0,2
Qwen_2.5_7B_base,negval,100,0,0
Qwen_2.5_7B_base,fear,100,1,1
Qwen_2.5_7B_base,s1s2_negval,100,1,1
Qwen_2.5_7B_base,s1s2_fear,100,1,1
Qwen_2.5_7B_base,random,100,1,1
Qwen_2.5_7B_instruct,baseline,100,1,3
Qwen_2.5_7B_instruct,s1,100,0,0
Qwen_2.5_7B_instruct,s2,100,0,1
Qwen_2.5_7B_instruct,s1s2,100,0,0
Qwen_2.5_7B_instruct,negval,100,0,1
Qwen_2.5_7B_instruct,fear,100,0,0
Qwen_2.5_7B_instruct,s1s2_negval,100,0,1
Qwen_2.5_7B_instruct,s1s2_fear,100,0,1
Qwen_2.5_7B_instruct,random,100,0,3
Qwen_3_14B_base,baseline,100,0,1
Qwen_3_14B_base,s1,100,0,1
Qwen_3_14B_base,s2,100,0,1
Qwen_3_14B_base,s1s2,100,0,0
Qwen_3_14B_base,negval,100,0,3
