denominator,pooled,mean_per_model,median_per_model,n_models_over_50
"core S1+S2 controls (B,C1,C2,D,E)",91.24292297564187,229.98761493656497,129.04545454545456,21
"core controls, S2 only",104.20902255639099,128.95210372595383,94.9761904761905,15
neutral category D only,205.3303703703704,191.85941391941392,171.94285714285715,12
Random dataset,46.982372881355936,126.17606263947937,55.83908045977013,14
Arousal dataset,130.01688555347093,180.161676712229,122.90909090909093,20
Random + Arousal,69.02290836653387,207.3347398642111,78.24242424242424,15
all non-pain sentences,75.1208672086721,121.19731375040567,67.4516129032258,21
