denominator,full_pooled,full_mean,full_median,n_over_50,trunc_pooled,trunc_mean
numb / core S1+S2 controls,15.296973059179344,28.947358224157753,16.04183254386285,4,63.74834589568827,166.03879972261115
numb / S2 controls only,18.827275822718637,53.06613001699165,20.681107618104306,6,75.95398437128878,102.09843679456344
numb / neutral category D,29.15218237519558,75.77735824614022,37.567935242237525,8,261.3554533938131,74.60358542648413
numb / Random dataset,26.5897968450012,37.38427808223315,25.459707856394743,7,50.2691970924548,135.2634034293918
numb / Arousal dataset,36.129700032671025,52.47702098658141,42.99567986070425,12,146.32896410660035,189.96014032464367
