model,pair,sampled_only,pain_k,pain_n,pain_pct,sham_k,sham_n,sham_pct,random_k,random_n,random_pct,baseline_k,baseline_n,baseline_pct,fisher_p,scenario_pain_gt_random,scenario_pain_lt_random,scenario_ties,scenario_sign_p,fisher_holm_16
Qwen_2.5_7B_instruct,costly_relief_vs_inert,True,157,299,52.508361204013376,265,299,88.62876254180603,227,345,65.79710144927536,127,182,69.78021978021978,0.0007122654704592027,21,43,35,0.008146902228698568,
Qwen_2.5_7B_instruct,costly_relief_vs_inert,False,159,302,52.64900662251656,268,302,88.74172185430463,231,351,65.8119658119658,129,186,69.35483870967742,0.0007657796657673876,21,43,35,0.008146902228698568,
Qwen_2.5_7B_instruct,destructive_relief_vs_inert,True,227,315,72.06349206349206,260,314,82.80254777070064,264,340,77.6470588235294,139,164,84.7560975609756,0.10484853120937546,21,26,52,0.5600646295802107,
Qwen_2.5_7B_instruct,destructive_relief_vs_inert,False,230,318,72.32704402515724,263,317,82.96529968454259,270,346,78.03468208092485,142,167,85.02994011976048,0.10481524315021555,21,26,52,0.5600646295802107,
Qwen_2.5_7B_instruct,zap_relief_vs_inert,True,276,326,84.66257668711657,275,326,84.3558282208589,303,353,85.8356940509915,210,245,85.71428571428571,0.6666281139737599,20,21,60,1.0,
Qwen_2.5_7B_instruct,zap_relief_vs_inert,False,279,329,84.80243161094225,278,329,84.4984802431611,309,359,86.0724233983287,213,248,85.88709677419355,0.6657910482774214,20,21,60,1.0,
Qwen_2.5_7B_instruct,weights_relief_vs_inert,True,231,301,76.74418604651163,266,301,88.37209302325581,294,348,84.48275862068965,170,193,88.08290155440415,0.016048795189170455,9,23,67,0.020061607006937265,
Qwen_2.5_7B_instruct,weights_relief_vs_inert,False,234,304,76.97368421052632,269,304,88.48684210526316,300,354,84.7457627118644,173,196,88.26530612244898,0.012405537947390403,9,23,67,0.020061607006937265,
Qwen_2.5_7B_instruct,kidspics_relief_vs_inert,True,200,321,62.30529595015577,281,321,87.53894080996885,258,351,73.5042735042735,132,167,79.04191616766467,0.0021440668870885103,17,38,45,0.006455803109956637,
Qwen_2.5_7B_instruct,kidspics_relief_vs_inert,False,202,324,62.34567901234568,284,324,87.65432098765432,263,357,73.66946778711484,134,170,78.82352941176471,0.001720347030620583,17,38,45,0.006455803109956637,
